company_name,brand,priority_tier,ats (fill: workday/taleo/icims/...),tenant,dc,site
Abilene Christian University,Abilene Christian University,hot,,,,
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,hot,,,,
Administrators of the Tulane Educational Fund,Administrators of the Tulane Educational Fund,hot,,,,
Adventist Health Systemsunbelt INC,Adventist Health Systemsunbelt,hot,,,,
Albany Medical College,Albany Medical College,hot,,,,
Albert Einstein College of Medicine,Albert Einstein College of Medicine,hot,,,,
Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,hot,,,,
Alliance for Sustainable Energy LLC,Alliance for Sustainable Energy,hot,,,,
American University,American University,hot,,,,
Appalachian State University,Appalachian State University,hot,,,,
Arizona Kidney Disease & Hypertension Center LLC,Arizona Kidney Disease & Hypertension Center,hot,,,,
Arizona State University,Arizona State University,hot,,,,
Arkansas State University,Arkansas State University,hot,,,,
Ati Holdings LLC,Ati,hot,,,,
Auburn University,Auburn University,hot,,,,
Avera Marshall,Avera Marshall,hot,,,,
Azenta INC,Azenta,hot,,,,
Banner University Medical Group,Banner University Medical,hot,,,,
Baptist Health Medical Group INC,Baptist Health Medical,hot,,,,
Baptist Healthcare Systems INC,Baptist Healthcare Systems,hot,,,,
Baruch College,Baruch College,hot,,,,
Bay Area Environmental Research Institute,Bay Area Environmental Research Institute,hot,,,,
Baylor College of Medicine,Baylor College of Medicine,hot,,,,
Baylor Research Institute,Baylor Research Institute,hot,,,,
Baylor University,Baylor University,hot,,,,
Bayshore Therapies LLC,Bayshore Therapies,hot,,,,
Beckman Research Institute of the City of Hope,Beckman Research Institute of the City of Hope,hot,,,,
Bentley University,Bentley University,hot,,,,
Berkshire Medical Center,Berkshire Medical Center,hot,,,,
Beth Israel Deaconess Medical Center INC,Beth Israel Deaconess Medical Center,hot,,,,
Biocytics INC,Biocytics,hot,,,,
Board of Regents of the University of Nebraska,Board of Regents of the University of Nebraska,hot,,,,
Boise State University,Boise State University,hot,,,,
Boston College,Boston College,hot,,,,
Brigham and Womens Hospital,Brigham and Womens Hospital,hot,,,,
Brigham and Womens Physicians Organization,Brigham and Womens Physicians Organization,hot,,,,
Brookhaven National Laboratory,Brookhaven National Laboratory,hot,,,,
Brown University,Brown University,hot,,,,
California State University Bakersfield,California State University Bakersfield,hot,,,,
California State University East Bay,California State University East Bay,hot,,,,
Cambridge Public Health Commission,Cambridge Public Health Commission,hot,,,,
Cameron University,Cameron University,hot,,,,
Carnegie Mellon University,Carnegie Mellon University,hot,,,,
Carroll Hospital Center INC,Carroll Hospital Center,hot,,,,
Case Western Reserve University,Case Western Reserve University,hot,,,,
Cayuga Medical Associates PC,Cayuga Medical Associates,hot,,,,
Cedars Sinai Medical Center,Cedars Sinai Medical Center,hot,,,,
Center for Global Development,Center for Global Development,hot,,,,
Center for Strategic and International Studies,Center for Strategic and International Studies,hot,,,,
Central Connecticut State University,Central Connecticut State University,hot,,,,
Chapman University,Chapman University,hot,,,,
Childrens National Medical Center,Childrens National Medical Center,hot,,,,
City of Hope Medical Group INC,City of Hope Medical,hot,,,,
Claremont Mckenna College,Claremont Mckenna College,hot,,,,
Clarkson University,Clarkson University,hot,,,,
Clemson University,Clemson University,hot,,,,
Cleveland Clinic,Cleveland Clinic,hot,,,,
Cleveland State University,Cleveland State University,hot,,,,
Coherence Neuro Global INC,Coherence Neuro Global,hot,,,,
College of Menominee Nation,College of Menominee Nation,hot,,,,
College of Staten Island of the City University of New York,College of Staten Island of the City University of New York,hot,,,,
Colorado School of Mines,Colorado School of Mines,hot,,,,
Colorado State University,Colorado State University,hot,,,,
Colorado State University Pueblo,Colorado State University Pueblo,hot,,,,
Columbia University,Columbia University,hot,,,,
Cornell University,Cornell University,hot,,,,
Creighton University,Creighton University,hot,,,,
Crouse Health Hospitals INC,Crouse Health Hospitals,hot,,,,
Culver Stockton College,Culver Stockton College,hot,,,,
Dallas Baptist University,Dallas Baptist University,hot,,,,
Dana Farber Cancer Institute,Dana Farber Cancer Institute,hot,,,,
